Title,Category,Language,Site,Level,Price,Rating,Duration,Skills,Number of viewers,Instructors,Program Type
"BI Foundations with SQL, ETL and Data Warehousing Specialization",Information Technology,English,Coursera,Intermediate,855,4.6,5,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ",210,"Rav Ahuja ,Sam Prokopchuk ,Ramesh Sannareddy ,Hima Vasudevan ,Yan Luo ,Jeff Grossman ,Sabrina Spillner ,",Free Course
Natural Language Processing Specialization,Data Science,English,Coursera,Intermediate,855,4.6,4,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ",4787,"Younes Bensouda Mourri ,Łukasz Kaiser ,Eddy Shyu ,",Free Course
Business Foundations Specialization,Business,English,Coursera,Intermediate,855,4.7,7,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ",17404,"Barbara E. Kahn ,Peter Fader ,Jagmohan Raju ,Brian J Bushee ,Michael Useem ,Peter Cappelli ,Michael R Roberts ,Christian Terwiesch ,",Free Course
Meta React Native Specialization,Computer Science,English,Coursera,Intermediate,855,4.8,8,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ",564,"Taught by Meta Staff ,",Free Course
Mathematics for Machine Learning and Data Science Specialization,Computer Science,English,Coursera,Intermediate,855,4.5,3,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ",369,"Luis Serrano ,Elena Sanina ,Anshuman Singh ,Magdalena Bouza ,",Free Course
Introduction to Finance and Accounting Specialization,Business,English,Coursera,Intermediate,855,4.4,5,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ",1753,"Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,",Free Course
AI Foundations for Everyone Specialization,Data Science,English,Coursera,Intermediate,855,4.7,3,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ",2218,"Rav Ahuja ,Antonio Cangiano ,",Free Course
Finance & Quantitative Modeling for Analysts Specialization,Business,English,Coursera,Intermediate,855,4.5,4,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ",2412,"Richard Waterman ,Don Huesman ,Richard Lambert ,Christopher D. Ittner ,Michael R Roberts ,",Free Course
Machine Learning Engineering for Production (MLOps) Specialization,Data Science,English,Coursera,Intermediate,855,4.7,4,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ",2780,"Andrew Ng ,Cristian Bartolomé Arámburu ,Robert Crowe ,Laurence Moroney ,",Free Course
Business and Financial Modeling Specialization,Business,English,Coursera,Intermediate,855,4.5,6,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ",7555,"Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,",Free Course
